MyCategory,BudgetCategory
Electric,Electric
Internet,Internet
Awards and Rebate Credits,
Merchandise,Misc
Gasoline,Alcohol
Supermarkets,Food
Travel/ Entertainment,
Fees,Misc
Finacial,Roth IRA
Finacial,School Loans
Finacial,Vacation Fund
Finacial,Emergency Fund
Finacial,Christmas Fund
Finacial,Car Savings
Restaurants,Dining Out
Interest,Misc
Education,Misc
Random,Misc
Charity,Charity
Trash,Trash
Subscriptions,Netflix/Hulu/etc
Department Stores,Clothing
Transit,Misc
Services,Misc
Reset,Misc
Rent,Rent
Venmo,Misc
